cruise ship,Catedral-Basílica de Santa María de Mallorca,Castell de Bellver,Royal Palace of La Almudaina,Tren Soller,Es Baluard Museu d'Art Contemporani de Palma,Plaza Mayor,Poble Espanyol de Palma,Lonja de Mallorca,Born de Palma,Port of Palma de Mallorca,Arab Baths of Palma de Mallorca,Mercat de l’Olivar,Sant @en.francesc,"Museu Fundación Juan March, Palma",Parc de la Mar,Plaça de Cort,Mercado Gastronómico San Juan,Hort del Rei,Església de Santa Eulàlia,Can Pere Antoni,Casal Solleric,Museo de Mallorca,Ayuntamiento de Palma de Mallorca,Plaça de toros de Palma,Gran Hotel,Convent de Santa Clara,Rambla de Palma,Plaza España,Museu Diocesà de Mallorca,Basilica of St. Michael,Sa Feixina Park,Fundación Bartolomé March,Avenida Jaime III,Mercat Pere Garau,Can Forteza Rey,Gerhardt Braun Gallery,CaixaForum Palma,Consolat de Mar de Palma,Passeig Mallorca,Parque Sa Riera,Centro Cultural Can Balaguer,Balearic Transfer,Mission: Escape. Escape Room Mallorca,Plaza Del Mercat,Parc de les Estacions,Device to Root out Evil,Roman Catholic Diocese of Majorca,"Estàtua ""Es Foner""",Can Vivot,Plaça del Rei Joan Carles I,tapas-tour,GOB - Grup Balear d'Ornitologia I Defensa de la Naturalesa,Ca'n Oms,La Misericòrdia,ABA ART LAB
6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1096.0,0.0,246.0,0.0,549.0,44.0,78.0,489.0,1.0,3.0,7.0,1.0,5.0,8.0,42.0,67.0,0.0,279.0,2.0,0.0,197.0,24.0,26.0,0.0,3.0,24.0,3.0,0.0,53.0,5.0,651.0,206.0,1.0,0.0,22.0,473.0,36.0,333.0,0.0,0.0,129.0,2.0,0.0,68.0,0.0,277.0,6.0,271.0,20.0,1.0,9.0,0.0,42.0,38.0,663.0
627.0,829.0,27.0,209.0,18.0,72.0,412.0,1.0,126.0,0.0,1.0,53.0,125.0,138.0,145.0,144.0,216.0,0.0,168.0,18.0,0.0,183.0,112.0,88.0,0.0,0.0,187.0,0.0,41.0,107.0,132.0,63.0,188.0,0.0,0.0,172.0,175.0,177.0,95.0,1.0,1.0,197.0,83.0,11.0,192.0,2.0,73.0,139.0,132.0,209.0,0.0,0.0,2.0,161.0,110.0,138.0
3654.0,215.0,0.0,74.0,54.0,15.0,230.0,0.0,46.0,0.0,6.0,39.0,150.0,124.0,108.0,84.0,95.0,0.0,45.0,12.0,0.0,46.0,41.0,51.0,1.0,0.0,94.0,0.0,64.0,63.0,108.0,20.0,74.0,0.0,2.0,105.0,39.0,73.0,27.0,0.0,0.0,82.0,58.0,35.0,74.0,8.0,14.0,122.0,54.0,129.0,1.0,1.0,11.0,81.0,40.0,31.0
5307.0,58.0,0.0,28.0,35.0,10.0,76.0,0.0,19.0,0.0,0.0,24.0,55.0,44.0,50.0,37.0,32.0,2.0,22.0,4.0,0.0,32.0,30.0,11.0,3.0,0.0,26.0,0.0,36.0,20.0,55.0,10.0,21.0,0.0,3.0,50.0,16.0,35.0,7.0,0.0,0.0,37.0,22.0,32.0,28.0,11.0,6.0,56.0,26.0,53.0,0.0,0.0,11.0,27.0,24.0,9.0
5885.0,36.0,0.0,13.0,19.0,7.0,30.0,1.0,15.0,0.0,0.0,12.0,31.0,16.0,20.0,16.0,22.0,3.0,9.0,2.0,0.0,12.0,12.0,11.0,3.0,0.0,14.0,1.0,29.0,15.0,18.0,6.0,16.0,0.0,5.0,15.0,8.0,18.0,6.0,0.0,1.0,15.0,12.0,13.0,19.0,8.0,5.0,10.0,13.0,23.0,1.0,2.0,16.0,11.0,15.0,10.0
6072.0,14.0,1.0,7.0,14.0,4.0,21.0,1.0,14.0,1.0,0.0,5.0,16.0,10.0,12.0,11.0,13.0,4.0,9.0,1.0,2.0,13.0,9.0,8.0,1.0,0.0,16.0,0.0,10.0,12.0,12.0,3.0,18.0,0.0,4.0,15.0,10.0,6.0,7.0,0.0,0.0,11.0,11.0,18.0,10.0,10.0,3.0,12.0,5.0,9.0,0.0,0.0,10.0,6.0,16.0,3.0
6149.0,23.0,0.0,10.0,5.0,4.0,10.0,0.0,4.0,0.0,1.0,1.0,11.0,3.0,5.0,12.0,9.0,9.0,8.0,0.0,0.0,13.0,9.0,5.0,5.0,0.0,6.0,0.0,18.0,7.0,5.0,6.0,4.0,0.0,1.0,12.0,6.0,8.0,12.0,0.0,0.0,13.0,8.0,12.0,9.0,11.0,6.0,14.0,6.0,10.0,0.0,0.0,11.0,5.0,6.0,8.0
6181.0,13.0,0.0,9.0,11.0,4.0,16.0,0.0,9.0,0.0,0.0,8.0,16.0,4.0,6.0,6.0,3.0,7.0,8.0,3.0,0.0,7.0,7.0,3.0,2.0,1.0,6.0,0.0,8.0,5.0,11.0,5.0,8.0,0.0,3.0,6.0,14.0,11.0,4.0,0.0,3.0,11.0,5.0,13.0,6.0,6.0,9.0,3.0,5.0,7.0,0.0,0.0,6.0,5.0,9.0,7.0
6193.0,12.0,0.0,6.0,9.0,5.0,16.0,1.0,7.0,0.0,1.0,6.0,9.0,2.0,10.0,4.0,7.0,5.0,0.0,1.0,1.0,12.0,8.0,4.0,4.0,1.0,4.0,0.0,9.0,2.0,2.0,7.0,4.0,1.0,1.0,6.0,14.0,7.0,1.0,1.0,2.0,11.0,8.0,12.0,9.0,6.0,6.0,6.0,5.0,16.0,2.0,0.0,8.0,4.0,7.0,15.0
6202.0,6.0,2.0,3.0,8.0,6.0,10.0,2.0,4.0,0.0,0.0,4.0,16.0,14.0,9.0,6.0,7.0,3.0,4.0,1.0,0.0,12.0,3.0,5.0,1.0,0.0,10.0,0.0,5.0,1.0,7.0,5.0,17.0,1.0,6.0,7.0,6.0,5.0,5.0,0.0,2.0,9.0,0.0,11.0,12.0,7.0,6.0,8.0,6.0,7.0,0.0,0.0,4.0,9.0,12.0,4.0
